order_number,product_id,customer_id,product_name,department_id,price
13974,16145,11068,Organic Cannellini Beans,15,5.1
13976,25552,28733,Organic Steel Cut Oats,14,4.64
13976,45007,28733,Organic Zucchini,4,5.08
13976,35425,28733,Gluten Free Brown Rice English Muffins 6 ct,3,11.37
13976,5450,28733,Small Hass Avocado,4,5.77
13976,39024,28733,Edamame In Pod,1,5.6
13976,34942,28733,Kahuna Crunch Trail Mix,19,5.24
13978,40310,30418,Oven Roasted Turkey Breast,20,8.23
13978,781,30418,Organic Shredded Mild Cheddar,16,2.78
13978,4962,30418,Yotoddler Organic Pear Spinach Mango Yogurt,16,10.68
13979,42964,10156,Gluten Free Spaghetti Pasta,9,9.5
13980,26209,118490,Limes,4,4.37
13981,45007,117323,Organic Zucchini,4,5.08
13983,26604,183765,Organic Blackberries,4,8.08
13983,7041,183765,Pecorino Romano,16,5.02
13984,36961,61288,Pink Cripps Apple,4,2.89
13985,19173,178989,Orange Calcium & Vitamin D Pulp Free,7,11.11
13986,14371,34466,Organic Nonfat Milk,16,10.79
13986,26209,34466,Limes,4,4.37
13986,46847,34466,Quick Cooking Rolled Oats Irish Oatmeal,14,6.01
13986,1025,34466,Organic Fresh Basil,4,11.34
13990,25930,71046,Pure Cane Confectioners 10-X Powdered Sugar,13,9.37
13993,7963,117288,Gluten Free Whole Grain Bread,1,4.53
13995,49247,105550,Coconut Yoghurt,16,4.8
13995,42110,105550,Organic Macaroni Shells & Real Aged Cheddar,9,12.09
13996,7963,142176,Gluten Free Whole Grain Bread,1,4.53
13999,35383,73710,Classic White Bread,3,6.03
14000,12566,167114,Organic Black Mustard Seed,13,10.81
14000,16759,167114,Organic Carrot Bunch,4,4.17
14000,26209,167114,Limes,4,4.37
14004,5445,89602,Protein Zone Protein Juice Smoothie,7,5.82
14004,27413,89602,100% Mighty Mango Juice Smoothie,7,7.25
14004,36810,89602,Original Pancake and Baking Mix,14,5.95
14005,22716,51784,Gluten Free Fettuccini Roasted Garlic,9,2.1
14006,30827,148233,Seedless Cucumbers,4,5.22
14008,5085,47029,Organic Stage 1 First Peas Baby Food,18,4.64
14008,12240,47029,Vanilla Protein Almond Milk,16,3.4
14014,30827,186260,Seedless Cucumbers,4,5.22
14015,5085,171109,Organic Stage 1 First Peas Baby Food,18,4.64
14016,1104,136145,Plain Yogurt,16,4.36
14021,26604,205031,Organic Blackberries,4,8.08
14023,47792,75628,Organic Beans & Rice Cheddar Cheese Burrito,1,8.35
14023,12572,75628,6 OZ LA PANZANELLA CROSTINI ORIGINAL CRACKERS,19,1.78
14023,32035,75628,Toasted Pine Nut Couscous Mix,9,8.57
14023,28745,75628,Oven Roasted Turkey,20,7.99
